,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
1884,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T23:00:00Z,2018-10-12T17:00:00-06:00,no2,0.017,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1890,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-12T21:00:00Z,2018-10-12T15:00:00-06:00,no2,0.016,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1891,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T21:00:00Z,2018-10-12T15:00:00-06:00,no2,0.011000000000000001,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1901,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T21:00:00Z,2018-10-12T15:00:00-06:00,no2,0.017,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1910,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T20:00:00Z,2018-10-12T14:00:00-06:00,no2,0.01,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1913,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-12T20:00:00Z,2018-10-12T14:00:00-06:00,no2,0.015,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1916,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T20:00:00Z,2018-10-12T14:00:00-06:00,no2,0.012,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1920,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T19:00:00Z,2018-10-12T13:00:00-06:00,no2,0.01,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1923,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T19:00:00Z,2018-10-12T13:00:00-06:00,no2,0.012,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1934,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T18:00:00Z,2018-10-12T12:00:00-06:00,no2,0.011000000000000001,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1944,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T18:00:00Z,2018-10-12T12:00:00-06:00,no2,0.012,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1950,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-12T17:00:00Z,2018-10-12T11:00:00-06:00,no2,0.011000000000000001,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1952,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T17:00:00Z,2018-10-12T11:00:00-06:00,no2,0.016,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1960,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T17:00:00Z,2018-10-12T11:00:00-06:00,no2,0.013000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1970,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T16:00:00Z,2018-10-12T10:00:00-06:00,no2,0.013999999999999999,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1972,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T16:00:00Z,2018-10-12T10:00:00-06:00,no2,0.016,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1973,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-12T16:00:00Z,2018-10-12T10:00:00-06:00,no2,0.012,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1980,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T13:00:00Z,2018-10-12T07:00:00-06:00,no2,0.019,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1987,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T13:00:00Z,2018-10-12T07:00:00-06:00,no2,0.023,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1992,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-12T13:00:00Z,2018-10-12T07:00:00-06:00,no2,0.021,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1999,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T12:00:00Z,2018-10-12T06:00:00-06:00,no2,0.024,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2008,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T12:00:00Z,2018-10-12T06:00:00-06:00,no2,0.021,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2015,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T11:00:00Z,2018-10-12T05:00:00-06:00,no2,0.023,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2019,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T11:00:00Z,2018-10-12T05:00:00-06:00,no2,0.022000000000000002,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2028,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T10:00:00Z,2018-10-12T04:00:00-06:00,no2,0.023,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2035,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T10:00:00Z,2018-10-12T04:00:00-06:00,no2,0.022000000000000002,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2041,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T09:00:00Z,2018-10-12T03:00:00-06:00,no2,0.022000000000000002,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2048,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T09:00:00Z,2018-10-12T03:00:00-06:00,no2,0.022000000000000002,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2053,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T07:00:00Z,2018-10-12T01:00:00-06:00,no2,0.024,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2058,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T07:00:00Z,2018-10-12T01:00:00-06:00,no2,0.019,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2067,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T06:00:00Z,2018-10-12T00:00:00-06:00,no2,0.019,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2075,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T06:00:00Z,2018-10-12T00:00:00-06:00,no2,0.025,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2093,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-12T03:00:00Z,2018-10-11T21:00:00-06:00,no2,0.019,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
